SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,434 N Fairview St,Bloomington,IN,47404,279000,2,2.0,,1280,4792,2005,25,218,,Active,,,https://www.redfin.com/IN/Bloomington/434-N-Fairview-St-47404/home/136602155,IRMLS,202334314,N,Y,39.1702832,-86.5409155
MLS Listing,,Single Family Residential,1300 E 1st St,Bloomington,IN,47401,625000,3,2.0,Elm Heights,2428,13939,1926,25,257,,Active,,,https://www.redfin.com/IN/Bloomington/1300-E-1st-St-47401/home/136345955,IRMLS,202334306,N,Y,39.1589958,-86.5175563
MLS Listing,,Single Family Residential,3044 N Natasha Dr,Bloomington,IN,47404,335000,3,2.0,River Bend / Riverbend,1509,9583,2004,25,222,,Active,,,https://www.redfin.com/IN/Bloomington/3044-N-Natasha-Dr-47404/home/136396133,IRMLS,202334278,N,Y,39.2020035,-86.5880624
MLS Listing,,Single Family Residential,4433 W Silverthorne St,Bloomington,IN,47404,391000,4,3.5,Wood Gate / Woodgate,2576,16988,1995,25,152,,Active,October-22-2023 01:00 PM,October-22-2023 03:00 PM,https://www.redfin.com/IN/Bloomington/4433-W-Silverthorne-St-47404/home/136539707,IRMLS,202334264,N,Y,39.2219172,-86.5916209
MLS Listing,,Single Family Residential,7203 S Lodge Rd,Bloomington,IN,47403,499000,3,3.5,Southwest Monroe County,4457,114127,2002,25,112,,Active,,,https://www.redfin.com/IN/Bloomington/7203-S-Lodge-Rd-47403/home/136554187,IRMLS,202334265,N,Y,39.07385,-86.581628
MLS Listing,,Single Family Residential,2808 S Kings Ct,Bloomington,IN,47401,669000,4,3.5,Hyde Park,3833,14810,1994,25,175,,Active,,,https://www.redfin.com/IN/Bloomington/2808-S-Kings-Ct-47401/home/136331970,IRMLS,202334246,N,Y,39.1422399,-86.4880654
MLS Listing,,Single Family Residential,8916 W Thacker Rd,Bloomington,IN,47403,650000,3,2.0,No Subdivision,2048,1745400,2004,25,317,,Active,,,https://www.redfin.com/IN/Bloomington/8916-Thacker-Rd-47403/home/136624112,MIBOR as Distributed by MLS Grid,21942836,N,Y,39.01255,-86.667216
MLS Listing,,Single Family Residential,4666 N Shadow Wood Dr,Bloomington,IN,47404,385000,4,2.5,Wood Gate / Woodgate,2140,10454,2006,25,180,15,Active,,,https://www.redfin.com/IN/Bloomington/4666-N-Shadow-Wood-Dr-47404/home/136396952,IRMLS,202334223,N,Y,39.221045,-86.583975
MLS Listing,,Single Family Residential,4701 N Robs Ln,Bloomington,IN,47408,249000,4,3.0,Robs Ridge,2112,26572,1999,26,118,,Active,,,https://www.redfin.com/IN/Bloomington/4701-N-Robs-Ln-47408/home/136558778,IRMLS,202334197,N,Y,39.2192934,-86.4678025
MLS Listing,,Single Family Residential,3796 W Cheryl Dr,Bloomington,IN,47404,360000,3,2.0,Highland Park Estates,1799,9148,2007,26,200,,Active,,,https://www.redfin.com/IN/Bloomington/3796-W-Cheryl-Dr-47404/home/136549289,IRMLS,202334141,N,Y,39.2120499,-86.5814918
